Date,ExchangeRate,Swap Rate -1Y,KORIBOR,LIBOR,달러지수 (종가),콜금리,KOSPI
2014.01.02,"1,055.30",0.09560,2.78,0.09560,80.79,2.51,"1,967.19"
2014.01.03,"1,050.40",0.09500,2.78,0.09500,80.96,2.50,"1,946.14"
2014.01.06,"1,054.10",0.09450,2.77,0.09450,80.81,2.48,"1,953.28"
2014.01.07,"1,062.20",0.09260,2.75,0.09260,80.98,2.50,"1,959.44"
2014.01.08,"1,067.90",0.09250,2.75,0.09250,81.16,2.49,"1,958.96"
2014.01.09,"1,066.00",0.09190,2.74,0.09190,81.14,2.49,"1,946.11"
2014.01.10,"1,064.80",0.09180,2.73,0.09180,80.75,2.50,"1,938.54"
2014.01.13,"1,062.80",0.09210,2.74,0.09210,80.61,2.49,"1,948.92"
2014.01.14,"1,056.50",0.09210,2.74,0.09210,80.76,2.49,"1,946.07"
2014.01.15,"1,058.40",0.09000,2.74,0.09000,81.14,2.49,"1,953.28"
2014.01.16,"1,062.50",0.08960,2.75,0.08960,81.02,2.49,"1,957.32"
2014.01.17,"1,064.20",0.08860,2.75,0.08860,81.36,2.49,"1,944.48"
2014.01.20,"1,061.00",null,2.74,null,81.36,2.49,"1,953.78"
2014.01.21,"1,063.90",0.08960,2.74,0.08960,81.23,2.49,"1,963.89"
2014.01.22,"1,064.20",0.09010,2.75,0.09010,81.31,2.50,"1,970.42"
2014.01.23,"1,068.40",0.08980,2.75,0.08980,80.53,2.50,"1,947.59"
2014.01.24,"1,071.90",0.08870,2.74,0.08870,80.54,2.50,"1,940.56"
2014.01.27,"1,077.20",0.08660,2.75,0.08660,80.61,2.52,"1,910.34"
2014.01.28,"1,084.10",0.08510,2.76,0.08510,80.66,2.52,"1,916.93"
2014.01.29,"1,079.20",0.08470,2.75,0.08470,80.58,2.51,"1,941.15"
2014.02.03,"1,071.10",0.08550,2.75,0.08550,81.11,2.47,"1,919.96"
2014.02.04,"1,082.20",0.08500,2.75,0.08500,81.22,2.48,"1,886.85"
2014.02.05,"1,086.10",0.08500,2.75,0.08500,81.13,2.48,"1,891.32"
2014.02.06,"1,079.50",0.08500,2.75,0.08500,81.00,2.49,"1,907.89"
2014.02.07,"1,076.40",0.08560,2.75,0.08560,80.76,2.49,"1,922.50"
2014.02.10,"1,075.10",0.08560,2.74,0.08560,80.73,2.49,"1,923.30"
2014.02.11,"1,071.90",0.08500,2.74,0.08500,80.70,2.49,"1,932.06"
